NAZ_OBEC,KOD_LAU1,NAZ_LAU1,KOD_CZNUTS3,NAZ_CZNUTS3
Pernarec,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Plasy,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Plešnice,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Pňovany,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Přehýšov,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Rochlov,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Rybnice,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Tis u Blatna,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Tlučná,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Trnová,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Třemošná,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Úlice,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Úněšov,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Úterý,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Vejprnice,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Vochov,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Všeruby,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Zbůch,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Zruč-Senec,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Žihle,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Žilov,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Rokycany,CZ0326,Rokycany,CZ032,Plzeňský kraj
Břasy,CZ0326,Rokycany,CZ032,Plzeňský kraj
Březina,CZ0326,Rokycany,CZ032,Plzeňský kraj
Bujesily,CZ0326,Rokycany,CZ032,Plzeňský kraj
Bušovice,CZ0326,Rokycany,CZ032,Plzeňský kraj
Cekov,CZ0326,Rokycany,CZ032,Plzeňský kraj
Dobřív,CZ0326,Rokycany,CZ032,Plzeňský kraj
Ejpovice,CZ0326,Rokycany,CZ032,Plzeňský kraj
Hlohovice,CZ0326,Rokycany,CZ032,Plzeňský kraj
Holoubkov,CZ0326,Rokycany,CZ032,Plzeňský kraj
Hrádek,CZ0326,Rokycany,CZ032,Plzeňský kraj
Hůrky,CZ0326,Rokycany,CZ032,Plzeňský kraj
Cheznovice,CZ0326,Rokycany,CZ032,Plzeňský kraj
Kařez,CZ0326,Rokycany,CZ032,Plzeňský kraj
Klabava,CZ0326,Rokycany,CZ032,Plzeňský kraj
Kladruby,CZ0326,Rokycany,CZ032,Plzeňský kraj
Lhotka u Radnic,CZ0326,Rokycany,CZ032,Plzeňský kraj
Liblín,CZ0326,Rokycany,CZ032,Plzeňský kraj
Líšná,CZ0326,Rokycany,CZ032,Plzeňský kraj
Mirošov,CZ0326,Rokycany,CZ032,Plzeňský kraj
Mlečice,CZ0326,Rokycany,CZ032,Plzeňský kraj
Mýto,CZ0326,Rokycany,CZ032,Plzeňský kraj
Osek,CZ0326,Rokycany,CZ032,Plzeňský kraj
Podmokly,CZ0326,Rokycany,CZ032,Plzeňský kraj
Přívětice,CZ0326,Rokycany,CZ032,Plzeňský kraj
Radnice,CZ0326,Rokycany,CZ032,Plzeňský kraj
Sebečice,CZ0326,Rokycany,CZ032,Plzeňský kraj
Strašice,CZ0326,Rokycany,CZ032,Plzeňský kraj
Budyně,CZ0316,Strakonice,CZ031,Jihočeský kraj
Těně,CZ0326,Rokycany,CZ032,Plzeňský kraj
Lažany,CZ0316,Strakonice,CZ031,Jihočeský kraj
Nová Ves,CZ0316,Strakonice,CZ031,Jihočeský kraj
Drachkov,CZ0316,Strakonice,CZ031,Jihočeský kraj
Vejvanov,CZ0326,Rokycany,CZ032,Plzeňský kraj
Veselá,CZ0326,Rokycany,CZ032,Plzeňský kraj
Droužetice,CZ0316,Strakonice,CZ031,Jihočeský kraj
Volduchy,CZ0326,Rokycany,CZ032,Plzeňský kraj
Zbiroh,CZ0326,Rokycany,CZ032,Plzeňský kraj
Mutěnice,CZ0316,Strakonice,CZ031,Jihočeský kraj
Sokolov,CZ0413,Sokolov,CZ041,Karlovarský kraj
Březová,CZ0413,Sokolov,CZ041,Karlovarský kraj
Bublava,CZ0413,Sokolov,CZ041,Karlovarský kraj
Bukovany,CZ0413,Sokolov,CZ041,Karlovarský kraj
Citice,CZ0413,Sokolov,CZ041,Karlovarský kraj
Dasnice,CZ0413,Sokolov,CZ041,Karlovarský kraj
Dolní Nivy,CZ0413,Sokolov,CZ041,Karlovarský kraj
Habartov,CZ0413,Sokolov,CZ041,Karlovarský kraj
Horní Slavkov,CZ0413,Sokolov,CZ041,Karlovarský kraj
Chlum Svaté Maří,CZ0413,Sokolov,CZ041,Karlovarský kraj
Chodov,CZ0413,Sokolov,CZ041,Karlovarský kraj
Kuřimany,CZ0316,Strakonice,CZ031,Jihočeský kraj
Kladruby,CZ0316,Strakonice,CZ031,Jihočeský kraj
Jindřichovice,CZ0413,Sokolov,CZ041,Karlovarský kraj
Kaceřov,CZ0413,Sokolov,CZ041,Karlovarský kraj
Zhoř u Tábora,CZ0317,Tábor,CZ031,Jihočeský kraj
Běleč,CZ0317,Tábor,CZ031,Jihočeský kraj
Krajková,CZ0413,Sokolov,CZ041,Karlovarský kraj
Královské Poříčí,CZ0413,Sokolov,CZ041,Karlovarský kraj
Kraslice,CZ0413,Sokolov,CZ041,Karlovarský kraj
Hlasivo,CZ0317,Tábor,CZ031,Jihočeský kraj
Kynšperk nad Ohří,CZ0413,Sokolov,CZ041,Karlovarský kraj
Libavské Údolí,CZ0413,Sokolov,CZ041,Karlovarský kraj
Řemíčov,CZ0317,Tábor,CZ031,Jihočeský kraj
Dolní Hrachovice,CZ0317,Tábor,CZ031,Jihočeský kraj
Loket,CZ0413,Sokolov,CZ041,Karlovarský kraj
Lomnice,CZ0413,Sokolov,CZ041,Karlovarský kraj
Pohnánec,CZ0317,Tábor,CZ031,Jihočeský kraj
Nová Ves,CZ0413,Sokolov,CZ041,Karlovarský kraj
Nové Sedlo,CZ0413,Sokolov,CZ041,Karlovarský kraj
Oloví,CZ0413,Sokolov,CZ041,Karlovarský kraj
Přebuz,CZ0413,Sokolov,CZ041,Karlovarský kraj
Rotava,CZ0413,Sokolov,CZ041,Karlovarský kraj
Rovná,CZ0413,Sokolov,CZ041,Karlovarský kraj
Rodná,CZ0317,Tábor,CZ031,Jihočeský kraj
Krátošice,CZ0317,Tábor,CZ031,Jihočeský kraj
Staré Sedlo,CZ0413,Sokolov,CZ041,Karlovarský kraj
Stříbrná,CZ0413,Sokolov,CZ041,Karlovarský kraj
Skrýchov u Malšic,CZ0317,Tábor,CZ031,Jihočeský kraj
Šindelová,CZ0413,Sokolov,CZ041,Karlovarský kraj
Vintířov,CZ0413,Sokolov,CZ041,Karlovarský kraj
Vřesová,CZ0413,Sokolov,CZ041,Karlovarský kraj
Tachov,CZ0327,Tachov,CZ032,Plzeňský kraj
Benešovice,CZ0327,Tachov,CZ032,Plzeňský kraj
Bezdružice,CZ0327,Tachov,CZ032,Plzeňský kraj
Bor,CZ0327,Tachov,CZ032,Plzeňský kraj
Cebiv,CZ0327,Tachov,CZ032,Plzeňský kraj
Částkov,CZ0327,Tachov,CZ032,Plzeňský kraj
Černošín,CZ0327,Tachov,CZ032,Plzeňský kraj
Dlouhý Újezd,CZ0327,Tachov,CZ032,Plzeňský kraj
Erpužice,CZ0327,Tachov,CZ032,Plzeňský kraj
Halže,CZ0327,Tachov,CZ032,Plzeňský kraj
Hošťka,CZ0327,Tachov,CZ032,Plzeňský kraj
Chodová Planá,CZ0327,Tachov,CZ032,Plzeňský kraj
Chodský Újezd,CZ0327,Tachov,CZ032,Plzeňský kraj
Kladruby,CZ0327,Tachov,CZ032,Plzeňský kraj
Konstantinovy Lázně,CZ0327,Tachov,CZ032,Plzeňský kraj
Kšice,CZ0327,Tachov,CZ032,Plzeňský kraj
Drunče,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Rosička,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Lesná,CZ0327,Tachov,CZ032,Plzeňský kraj
Lestkov,CZ0327,Tachov,CZ032,Plzeňský kraj
Světce,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Vícemil,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Smržov,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Bednáreček,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Horní Skrýchov,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Pístina,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Příbraz,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Hojovice,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Lidmaň,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Bácovice,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Bělá,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Planá,CZ0327,Tachov,CZ032,Plzeňský kraj
Černov,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Přimda,CZ0327,Tachov,CZ032,Plzeňský kraj
Rozvadov,CZ0327,Tachov,CZ032,Plzeňský kraj
Nová Buková,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Staré Sedliště,CZ0327,Tachov,CZ032,Plzeňský kraj
Staré Sedlo,CZ0327,Tachov,CZ032,Plzeňský kraj
Stráž,CZ0327,Tachov,CZ032,Plzeňský kraj
Stříbro,CZ0327,Tachov,CZ032,Plzeňský kraj
Studánka,CZ0327,Tachov,CZ032,Plzeňský kraj
Sulislav,CZ0327,Tachov,CZ032,Plzeňský kraj
Bořetice,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Svojšín,CZ0327,Tachov,CZ032,Plzeňský kraj
Litohošť,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Rovná,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Lhota-Vlasenice,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Trpísty,CZ0327,Tachov,CZ032,Plzeňský kraj
Třemešné,CZ0327,Tachov,CZ032,Plzeňský kraj
Buřenice,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Chyšná,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Chýstovice,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Martinice u Onšova,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Těchobuz,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Zhořec,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Krasíkovice,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Česká Lípa,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Bezděz,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Blatce,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Blíževedly,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Bohatice,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Polesí,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Brniště,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Stojčín,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Jankov,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Cvikov,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Střítež pod Křemešníkem,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Doksy,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Doksy,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Probulov,CZ0314,Písek,CZ031,Jihočeský kraj
Přeborov,CZ0314,Písek,CZ031,Jihočeský kraj
Horosedly,CZ0314,Písek,CZ031,Jihočeský kraj
Dubá,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Dubnice,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Kožlí,CZ0314,Písek,CZ031,Jihočeský kraj
Nové Hutě,CZ0315,Prachatice,CZ031,Jihočeský kraj
Budkov,CZ0315,Prachatice,CZ031,Jihočeský kraj
Holany,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Horní Libchava,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Horní Police,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Chlum,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Chotovice,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Jablonné v Podještědí,CZ0513,Liberec,CZ051,Liberecký kraj
Lčovice,CZ0315,Prachatice,CZ031,Jihočeský kraj
Janovice v Podještědí,CZ0513,Liberec,CZ051,Liberecký kraj
Jestřebí,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Křišťanov,CZ0315,Prachatice,CZ031,Jihočeský kraj
Kamenický Šenov,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Hájek,CZ0316,Strakonice,CZ031,Jihočeský kraj
Člunek,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Blažejov,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Kravaře,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Krompach,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Kunratice u Cvikova,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Eš,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Dobrá Voda u Pacova,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Vysoká Lhota,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Rodinov,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Vystrkov,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Bystrá,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Mysletín,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Mařenice,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Mimoň,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Staré Bříště,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Noviny pod Ralskem,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Nový Bor,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Nový Oldřichov,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Okna,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Okrouhlá,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Žirov,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Pavlov,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Dehtáře,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Dobrá Voda,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Proseč pod Křemešníkem,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Polevsko,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Olešná,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Zajíčkov,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Provodín,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Prysk,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Rynárec,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Ralsko,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Skalice u České Lípy,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Útěchovice pod Stražištěm,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Lesná,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Sloup v Čechách,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Rakovice,CZ0314,Písek,CZ031,Jihočeský kraj
Sosnová,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Jickovice,CZ0314,Písek,CZ031,Jihočeský kraj
Stráž pod Ralskem,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Stružnice,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Stvolínky,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Boudy,CZ0314,Písek,CZ031,Jihočeský kraj
Svor,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Minice,CZ0314,Písek,CZ031,Jihočeský kraj
Nerestce,CZ0314,Písek,CZ031,Jihočeský kraj
Zvíkovské Podhradí,CZ0314,Písek,CZ031,Jihočeský kraj
Velenice,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Křenovice,CZ0314,Písek,CZ031,Jihočeský kraj
Olešná,CZ0314,Písek,CZ031,Jihočeský kraj
Velký Valtinov,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Varvažov,CZ0314,Písek,CZ031,Jihočeský kraj
Volfartice,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Vrchovany,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Zahrádky,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Paseky,CZ0314,Písek,CZ031,Jihočeský kraj
Zákupy,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Temešvár,CZ0314,Písek,CZ031,Jihočeský kraj
Vojníkov,CZ0314,Písek,CZ031,Jihočeský kraj
Žandov,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Dolní Novosedly,CZ0314,Písek,CZ031,Jihočeský kraj
Horní Slatina,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Třebětice,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Děčín,CZ0421,Děčín,CZ042,Ústecký kraj
Arnoltice,CZ0421,Děčín,CZ042,Ústecký kraj
Benešov nad Ploučnicí,CZ0421,Děčín,CZ042,Ústecký kraj
Nová Ves nad Lužnicí,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Staňkov,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Hamr,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Česká Kamenice,CZ0421,Děčín,CZ042,Ústecký kraj
Dobkovice,CZ0421,Děčín,CZ042,Ústecký kraj
Dobrohošť,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Županovice,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Dolní Podluží,CZ0421,Děčín,CZ042,Ústecký kraj
Dolní Poustevna,CZ0421,Děčín,CZ042,Ústecký kraj
Polště,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Dolní Pěna,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Okrouhlá Radouň,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Heřmanov,CZ0421,Děčín,CZ042,Ústecký kraj
Kačlehy,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Horní Podluží,CZ0421,Děčín,CZ042,Ústecký kraj
Hřensko,CZ0421,Děčín,CZ042,Ústecký kraj
Huntířov,CZ0421,Děčín,CZ042,Ústecký kraj
Chřibská,CZ0421,Děčín,CZ042,Ústecký kraj
Bednárec,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Jetřichovice,CZ0421,Děčín,CZ042,Ústecký kraj
Jílové,CZ0421,Děčín,CZ042,Ústecký kraj
Jiřetín pod Jedlovou,CZ0421,Děčín,CZ042,Ústecký kraj
Jiříkov,CZ0421,Děčín,CZ042,Ústecký kraj
Velký Ratmírov,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Dolní Žďár,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Krásná Lípa,CZ0421,Děčín,CZ042,Ústecký kraj
Vydří,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Frahelž,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Kytlice,CZ0421,Děčín,CZ042,Ústecký kraj
Ponědrážka,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Lipová,CZ0421,Děčín,CZ042,Ústecký kraj
Ponědraž,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Klec,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Hadravova Rosička,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Malá Veleň,CZ0421,Děčín,CZ042,Ústecký kraj
Malšovice,CZ0421,Děčín,CZ042,Ústecký kraj
Báňovice,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Nová Olešná,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Bořetín,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Mikulášovice,CZ0421,Děčín,CZ042,Ústecký kraj
Jilem,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Rumburk,CZ0421,Děčín,CZ042,Ústecký kraj
Horní Němčice,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Rybniště,CZ0421,Děčín,CZ042,Ústecký kraj
Halámky,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Dunajovice,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Staré Křečany,CZ0421,Děčín,CZ042,Ústecký kraj
Hrachoviště,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Domanín,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Šluknov,CZ0421,Děčín,CZ042,Ústecký kraj
Mažice,CZ0317,Tábor,CZ031,Jihočeský kraj
Valkeřice,CZ0421,Děčín,CZ042,Ústecký kraj
Varnsdorf,CZ0421,Děčín,CZ042,Ústecký kraj
Velká Bukovina,CZ0421,Děčín,CZ042,Ústecký kraj
Hodonice,CZ0317,Tábor,CZ031,Jihočeský kraj
Velký Šenov,CZ0421,Děčín,CZ042,Ústecký kraj
Verneřice,CZ0421,Děčín,CZ042,Ústecký kraj
Veselé,CZ0421,Děčín,CZ042,Ústecký kraj
Vilémov,CZ0421,Děčín,CZ042,Ústecký kraj
Košín,CZ0317,Tábor,CZ031,Jihočeský kraj
Jedlany,CZ0317,Tábor,CZ031,Jihočeský kraj
Chomutov,CZ0422,Chomutov,CZ042,Ústecký kraj
Bílence,CZ0422,Chomutov,CZ042,Ústecký kraj
Blatno,CZ0422,Chomutov,CZ042,Ústecký kraj
Boleboř,CZ0422,Chomutov,CZ042,Ústecký kraj
Březno,CZ0422,Chomutov,CZ042,Ústecký kraj
Černovice,CZ0422,Chomutov,CZ042,Ústecký kraj
Krtov,CZ0317,Tábor,CZ031,Jihočeský kraj
Domašín,CZ0422,Chomutov,CZ042,Ústecký kraj
Droužkovice,CZ0422,Chomutov,CZ042,Ústecký kraj
Hora Svatého Šebestiána,CZ0422,Chomutov,CZ042,Ústecký kraj
Hrušovany,CZ0422,Chomutov,CZ042,Ústecký kraj
Chbany,CZ0422,Chomutov,CZ042,Ústecký kraj
Jirkov,CZ0422,Chomutov,CZ042,Ústecký kraj
Kadaň,CZ0422,Chomutov,CZ042,Ústecký kraj
Kalek,CZ0422,Chomutov,CZ042,Ústecký kraj
Klášterec nad Ohří,CZ0422,Chomutov,CZ042,Ústecký kraj
Kovářská,CZ0422,Chomutov,CZ042,Ústecký kraj
Chrbonín,CZ0317,Tábor,CZ031,Jihočeský kraj
Třebějice,CZ0317,Tábor,CZ031,Jihočeský kraj
Křimov,CZ0422,Chomutov,CZ042,Ústecký kraj
Svrabov,CZ0317,Tábor,CZ031,Jihočeský kraj
Libědice,CZ0422,Chomutov,CZ042,Ústecký kraj
Radimovice u Tábora,CZ0317,Tábor,CZ031,Jihočeský kraj
Málkov,CZ0422,Chomutov,CZ042,Ústecký kraj
Mašťov,CZ0422,Chomutov,CZ042,Ústecký kraj
Měděnec,CZ0422,Chomutov,CZ042,Ústecký kraj
Meziříčí,CZ0317,Tábor,CZ031,Jihočeský kraj
Místo,CZ0422,Chomutov,CZ042,Ústecký kraj
Balkova Lhota,CZ0317,Tábor,CZ031,Jihočeský kraj
Okounov,CZ0422,Chomutov,CZ042,Ústecký kraj
Otvice,CZ0422,Chomutov,CZ042,Ústecký kraj
Perštejn,CZ0422,Chomutov,CZ042,Ústecký kraj
Pětipsy,CZ0422,Chomutov,CZ042,Ústecký kraj
Drhovice,CZ0317,Tábor,CZ031,Jihočeský kraj
Kryštofovy Hamry,CZ0422,Chomutov,CZ042,Ústecký kraj
Radonice,CZ0422,Chomutov,CZ042,Ústecký kraj
Rokle,CZ0422,Chomutov,CZ042,Ústecký kraj
Spořice,CZ0422,Chomutov,CZ042,Ústecký kraj
Spořice,CZ0422,Chomutov,CZ042,Ústecký kraj
Strupčice,CZ0422,Chomutov,CZ042,Ústecký kraj
Bečice,CZ0317,Tábor,CZ031,Jihočeský kraj
Psárov,CZ0317,Tábor,CZ031,Jihočeský kraj
Údlice,CZ0422,Chomutov,CZ042,Ústecký kraj
Vejprty,CZ0422,Chomutov,CZ042,Ústecký kraj
Veliká Ves,CZ0422,Chomutov,CZ042,Ústecký kraj
Vilémov,CZ0422,Chomutov,CZ042,Ústecký kraj
Vlčeves,CZ0317,Tábor,CZ031,Jihočeský kraj
Nová Ves u Mladé Vožice,CZ0317,Tábor,CZ031,Jihočeský kraj
Vrskmaň,CZ0422,Chomutov,CZ042,Ústecký kraj
Všehrdy,CZ0422,Chomutov,CZ042,Ústecký kraj
Všestudy,CZ0422,Chomutov,CZ042,Ústecký kraj
Výsluní,CZ0422,Chomutov,CZ042,Ústecký kraj
Vysoká Pec,CZ0422,Chomutov,CZ042,Ústecký kraj
Jablonec nad Nisou,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Albrechtice v Jizerských horách,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Bedřichov,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Libějice,CZ0317,Tábor,CZ031,Jihočeský kraj
Desná,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Držkov,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Frýdštejn,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Lom,CZ0317,Tábor,CZ031,Jihočeský kraj
Janov nad Nisou,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Jenišovice,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Jílové u Držkova,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Haškovcova Lhota,CZ0317,Tábor,CZ031,Jihočeský kraj
Josefův Důl,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Koberovy,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Dlouhá Lhota,CZ0317,Tábor,CZ031,Jihočeský kraj
Kořenov,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Líšný,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Loužnice,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Lučany nad Nisou,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Malá Skála,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Maršovice,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Černýšovice,CZ0317,Tábor,CZ031,Jihočeský kraj
Nová Ves nad Nisou,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Pěnčín,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Plavy,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Drahov,CZ0317,Tábor,CZ031,Jihočeský kraj
Radčice,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Rádlo,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Rychnov u Jablonce nad Nisou,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Skuhrov,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Smržovka,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Tanvald,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
